nome,historico,campus,sigla
ALF - Bacharelado em Administração,Bacharelado em Administração,Campus Alta Floresta,ALF
ALF - Bacharelado em Zootecnia,Bacharelado em Zootecnia,Campus Alta Floresta,ALF
ALF - Especialização em História de Mato Grosso,Especialização em História de Mato Grosso,Campus Alta Floresta,ALF
ALF - FIC - Atendimento Básico à Endemias,Formação Inicial e Continuada em Atendimento Básico à Endemias,Campus Alta Floresta,ALF
ALF - FIC - Cuidador Infantil,Formação Inicial e Continuada em Cuidador Infantil,Campus Alta Floresta,ALF
ALF - FIC - Gestão da Empresa Pecuária,Formação Inicial e Continuada em Gestão da Empresa Pecuária,Campus Alta Floresta,ALF
ALF - FIC - Gestão de Organizações Indígenas,Formação Inicial e Continuada em Gestão de Organizações Indígenas,Campus Alta Floresta,ALF
ALF - Tecnologia em Gestão de Recursos Humanos,Tecnologia em Gestão de Recursos Humanos,Campus Alta Floresta,ALF
BAG - Especialização Lato Sensu em Agroecologia,Especializaçâo Lato Sensu em Agroecologia,Campus Barra do Garças,BAG
BAG - FIC - Avicultor em Sistemas Alternativos,Formação Inicial e Continuada em Avicultor em Sistemas Alternativos,Campus Barra do Garças,BAG
BAG - FIC - Competências Empreendedoras,Formação Inicial e Continuada em Competências Empreendedoras,Campus Barra do Garças,BAG
BAG - FIC - Competências Empreendedoras para o Produtor Rural,Formação Inicial e Continuada em Competências Empreendedoras para o Produtor Rural,Campus Barra do Garças,BAG
BAG - FIC - Empreendedorismo Feminino com Foco nas Mídias Sociais,Formação Inicial e Continuada em Empreendedorismo Feminino com Foco nas Mídias Sociais,Campus Barra do Garças,BAG
BAG - FIC - Inglês Básico,Formação Inicial e Continuada em Inglês Básico,Campus Barra do Garças,BAG
BAG - FIC - Manutenção de Computadores,Formação Inicial e Continuada em Manutenção de Computadores,Campus Barra do Garças,BAG
BAG - Técnico em Agropecuária Integrado Ao Ensino Médio,Técnico em Agropecuária Integrado Ao Ensino Médio,Campus Barra do Garças,BAG
BAG - Técnico em Controle Ambiental - Integrado - Matutino  - Barra do Garças,Ensino Médio Técnico Integrado em Controle Ambiental,Campus Barra do Garças,BAG
BAG - Tecnologia em Gestão Pública,Tecnologia em Gestão Pública,Campus Barra do Garças,BAG
BLV - Bacharelado em Engenharia de Alimentos,Bacharelado em Engenharia de Alimentos,Campus Cuiabá-Bela Vista,BLV
BLV - Bacharelado em Química Industrial,Bacharelado em Química Industrial,Campus Cuiabá-Bela Vista,BLV
BLV - Especialização em Estudos e Práticas de Cultura,Especialização em Estudos e Práticas de Cultura,Campus Cuiabá-Bela Vista,BLV
BLV - Especialização em Inovação e Empreendedorismo para Negócios Sustentáveis,Especialização em Inovação e Empreendedorismo para Negócios Sustentáveis,Campus Cuiabá-Bela Vista,BLV
BLV - Especialização Lato Sensu em Ensino de Química - UAB,Especialização Lato Sensu  em Ensino de Química,Campus Cuiabá-Bela Vista,BLV
"BLV - FIC - Processamento, Manipulação e Comercialização de Alimentos","Formação Inicial e Continuada em Processamento, Manipulação e Comercialização de Alimentos",Campus Cuiabá-Bela Vista,BLV
BLV - Mestrado em Ciência e Tecnologia de Alimentos,Mestrado em Ciência e Tecnologia de Alimentos,Campus Cuiabá-Bela Vista,BLV
BLV - Mestrado Profissional em Química Tecnológica e Ambiental,Mestrado Profissional em Química Tecnológica e Ambiental,Campus Cuiabá-Bela Vista,BLV
BLV - Tecnologia em Gestão Ambiental,Tecnologia em Gestão Ambiental,Campus Cuiabá-Bela Vista,BLV
CAS - Engenharia Florestal,Engenharia Florestal,Campus Cáceres,CAS
CAS - FIC - Cervejeiro,Formação Inicial e Continuada em Cervejeiro,Campus Cáceres,CAS
CAS - FIC - Jardinagem e Paisagismo,Formação Inicial e Continuada em Jardinagem e Paisagismo,Campus Cáceres,CAS
CAS - FIC - Técnico em Cozinha,Formação Inicial e Continuada em Técnico em Cozinha,Campus Cáceres,CAS
CAS - Licenciatura em Química,Licenciatura em Química,Campus Cáceres,CAS
CAS - Tecnologia em Biocombustíveis,Tecnologia em Biocombustíveis,Campus Cáceres,CAS
CBA - Bacharelado em Engenharia Elétrica,Bacharelado em Engenharia Elétrica,Campus Cuiabá,CBA
CBA - Bacharelado em Secretariado Executivo,Bacharelado em Secretariado Executivo,Campus Cuiabá,CBA
CBA - Bacharelado em Turismo,Bacharelado em Turismo,Campus Cuiabá,CBA
CBA - Bacharel em Engenharia da Computação,Bacharel em Engenharia da Computação,Campus Cuiabá,CBA
CBA - Bacharel em Engenharia de Controle e Automação,Bacharel em Engenharia de Controle e Automação,Campus Cuiabá,CBA
CBA - Especialização em Educação Inclusiva com Ênfase na Educação de Surdos,Pós Graduação Lato Senso em Educação Inclusiva com Ênfase na Educação de Surdos,Campus Cuiabá,CBA
CBA - Especialização Lato Sensu em Redes e Computação Distribuída - UAB,Pós Graduação Lato Sensu em Redes e Computação Distribuída,Campus Cuiabá,CBA
CBA - FIC - Agente de Informações Turísticas,Formação Inicial e Continuada em Agente de Informações Turísticas,Campus Cuiabá,CBA
CBA - FIC - Análise Estrutural Utilizando o Software FTOOL,Formação Inicial e Continuada em Educação em Análise Estrutural Utilizando o Software FTOOL,Campus Cuiabá,CBA
CBA - FIC - Aquarela e Lettering,Formação Inicial e Continuada em Aquarela e Lettering,Campus Cuiabá,CBA
CBA - FIC - Defensoras e Defensores Populares,Formação e Continuada em Defensoras e Defensores Populares,Campus Cuiabá,CBA
CBA - FIC - Eletricista de Sistemas de Energias Renováveis,Formação Inicial e Continuada em Eletricista de Sistemas de Energias Renováveis,Campus Cuiabá,CBA
CBA - FIC - Formação Inicial e Continuada de Língua Portuguesa para Estrangeiros,Formação Inicial e Continuada de Língua Portuguesa para Estrangeiros,Campus Cuiabá,CBA
CBA - FIC - Formação Inicial e Continuada de Língua Portuguesa para Estrangeiros - Intermediário,Formação Inicial e Continuada de Língua Portuguesa para Estrangeiros,Campus Cuiabá,CBA
"CBA - FIC - Inclusão Digital, Mundo do Trabalho e Empreendedorismo","Formação Inicial e Continuada em Inclusão Digital, Mundo do Trabalho e Empreendedorismo",Campus Cuiabá,CBA
CBA - FIC - Língua Portuguesa e Cultura Brasileira para Estrangeiros (Nível Básico),Formação Inicial e Continuada em Língua Portuguesa e Cultura Brasileira para Estrangeiros (Nível Básico),Campus Cuiabá,CBA
CBA - FIC - Microempreendedor Individual (MEI),Formação Inicial e Continuada em Microempreendedor Individual (MEI),Campus Cuiabá,CBA
CBA - FIC - Produção de Mudas de Espécies Nativas do Cerrado e Pantanal,Formação Inicial e Continuada em Produção de Mudas de Espécies Nativas do Cerrado e Pantanal,Campus Cuiabá,CBA
CBA - FIC - Produção de Sabão Ecológico,Formação Inicial e Continuada em Produção de Sabão Ecológico,Campus Cuiabá,CBA
CBA - Formação Pedagógica: Licenciatura em Pedagogia em Educação Profissional e Tecnológica - Ept,Licenciatura em Pedagogia em Educação Profissional e Tecnológica,Campus Cuiabá,CBA
CBA - Licenciatura em Educação Física,Licenciatura em Educação Física,Campus Cuiabá,CBA
CBA - Licenciatura em Pedagogia,Licenciatura em Pedagogia,Campus Cuiabá,CBA
CBA - Licenciatura em Pedagogia,Licenciatura em Pedagogia,Campus Cuiabá,CBA
CBA - Mestrado em Ensino,Mestrado  em Ensino,Campus Cuiabá,CBA
CBA - Mestrado Profissional em Educação Profissional e Tecnológica,Mestrado Profissional em Educação Profissional e Tecnológica,Campus Cuiabá,CBA
CBA - Pós-Graduação em Docência para a Educação Profissional e Tecnológica (DocentEPT),Pós-Graduação Lato Sensu em Docência para a Educação Profissional e Tecnológica (DocentEPT),Campus Cuiabá,CBA
CBA - Técnico em Agrimensura - Integrado,Técnico em Agrimensura Integrado Ao Ensino Médio,Campus Cuiabá,CBA
CBA - Técnico em Agrimensura - Subsequente,Técnico em Agrimensura Subsequente ao Ensino Médio,Campus Cuiabá,CBA
CBA - Técnico em Edificações - Integrado,Técnico em Edificações Integrado Ao Ensino Médio,Campus Cuiabá,CBA
CBA - Técnico em Edificações - Subsequente,Técnico em Edificações Subsequente ao Ensino Médio,Campus Cuiabá,CBA
CBA - Técnico em Eletrônica - Integrado,Técnico em Eletrônica Integrado Ao Ensino Médio,Campus Cuiabá,CBA
CBA - Técnico em Eletrônica - Subsequente,Técnico em Eletrônica Subsequente ao Ensino Médio,Campus Cuiabá,CBA
CBA - Técnico em Eletrotécnica - Integrado,Técnico em Eletrotécnica Integrado Ao Ensino Médio,Campus Cuiabá,CBA
